temp,dew,humidity,precip,windspeed,pollen_intensity,Clear,Partially cloudy,Rain,"Rain, Overcast","Rain, Partially cloudy",tem amplitude,Kmeans label,birch,dbscan,risk level
16.3,5.5,51.0,0.0,16.8,4.0,1.0,0.0,0.0,0.0,0.0,11.200000000000001,1,2,-1,3
15.7,5.7,52.9,0.0,17.8,4.0,1.0,0.0,0.0,0.0,0.0,9.8,1,2,-1,2
16.9,8.1,57.3,0.386,20.8,4.0,0.0,0.0,1.0,0.0,0.0,8.2,1,0,0,1
16.0,11.0,73.4,0.101,12.6,4.0,0.0,0.0,1.0,0.0,0.0,6.700000000000001,0,0,-1,3
15.0,10.4,74.8,0.0,22.9,4.0,1.0,0.0,0.0,0.0,0.0,8.899999999999999,0,0,0,3
12.7,5.9,64.3,0.0,31.4,4.0,1.0,0.0,0.0,0.0,0.0,3.9000000000000004,0,0,-1,3
11.9,5.1,64.8,0.379,20.8,4.0,0.0,0.0,1.0,0.0,0.0,7.1,0,0,-1,2
10.6,7.0,78.9,29.016,26.7,2.0,0.0,0.0,1.0,0.0,0.0,7.3,2,1,-1,2
11.8,7.6,76.4,4.302,26.5,2.0,0.0,0.0,1.0,0.0,0.0,7.699999999999999,0,0,-1,1
13.6,11.4,86.8,7.057,23.7,2.0,0.0,0.0,1.0,0.0,0.0,5.1,2,1,-1,2
13.8,10.5,82.1,5.14,24.7,2.0,0.0,0.0,1.0,0.0,0.0,7.299999999999999,2,1,-1,1
13.8,9.1,74.1,0.914,24.8,2.0,0.0,0.0,1.0,0.0,0.0,6.700000000000001,0,0,0,2
13.7,10.0,78.9,2.659,24.4,2.0,0.0,0.0,1.0,0.0,0.0,5.800000000000001,2,1,0,2
14.2,8.3,69.6,0.0,24.3,2.0,1.0,0.0,0.0,0.0,0.0,7.399999999999999,0,0,0,2
15.1,8.4,65.6,0.0,16.1,4.0,1.0,0.0,0.0,0.0,0.0,9.7,0,0,-1,1
15.9,12.5,80.8,0.115,18.8,4.0,0.0,0.0,1.0,0.0,0.0,5.4,2,0,-1,2
17.3,15.6,90.1,0.869,14.6,4.0,0.0,0.0,1.0,0.0,0.0,5.899999999999999,2,1,-1,3
15.8,12.1,79.5,0.188,21.1,4.0,0.0,0.0,1.0,0.0,0.0,7.200000000000001,2,0,-1,1
